"We are hiring","Мы нанимаем"
"Department","Отдел"
"Departments","Отделы"
"Department : ","Отдел : "
"New Department","Новый отдел"
"Department Name","Имя отдела"
"Department Description","Описание отдела"
"Save and Continue Edit","Сохранить и закончить редактирование"
"Save Department","Сохранить отдел"
"General Information","Оснавная информация"
"Add New Department","Добавить новый отдел"
"Department saved","Отдел сохранён"
"Department deleted","Отдел удалён"
"Name","Имя"
"A total of %1 record(s) have been deleted.","Всего %1 запись(ей) удалено."
"Job","Работа"
"Jobs","Работы"
"New Job","Новая работа"
"Save and Continue Edit","Сохранить и закончить редактирование"
"Save Job","Сохранить работу"
"General Information","Основная информация"
"Add New job","Добавить новую работу"
"Job saved","Работа сохранена"
"Job deleted","Работа удалена"
"Title","Заголовок"
"Type","Тип"
"Location","Место нахождения"
"Date","Дата"
"Status","Статус"
"Enabled","Включён"
"Disabled","Отключён"
